--one gpu--
1000 64.908638
1000 64.748291
1000 61.073856
1000 59.105057
1000 59.697857
1000 58.199711
1000 58.347168
1000 58.206879
1000 58.366913
2000 278.675446
2000 276.016968
2000 278.682648
2000 276.095215
2000 278.620483
2000 276.283997
2000 278.656281
2000 278.874878
2000 275.875519
2000 276.245697
3000 714.254456
3000 713.661072
3000 714.638428
3000 715.389648
3000 715.292603
3000 710.779785
3000 715.643860
3000 715.524231
3000 715.652893
3000 714.659546
4000 1421.741455
4000 1425.095215
4000 1419.815308
4000 1422.848022
4000 1422.290894
4000 1418.019409
4000 1421.051147
4000 1420.416016
4000 1425.449707
4000 1419.882202
5000 2467.925049
5000 2466.112793
5000 2482.442627
5000 2451.943115
5001 2465.075684
5001 2483.489746
5001 2476.892822
5001 2478.519531
5001 2474.955078
5001 2465.620361
6001 3922.381592
6001 3922.568604
6001 3940.451660
6002 3934.074463
6003 3941.735596
6003 3932.755615
6007 3944.272949
6008 3907.240967
6009 3933.629639
6010 3943.982178
7000 5845.979004
7005 5844.747070
7009 5859.711426
7009 5884.398438
7010 5879.364746
7011 5889.631348
7012 5933.525391
7012 5933.781250
7015 5897.063477
7020 5941.840332
8003 8397.448242
8005 8443.055664
8009 8401.416016
8013 8434.564453
8014 8403.173828
8014 8434.169922
8014 8450.777344
8018 8431.946289
8026 8470.295898
8027 8524.970703
9000 11498.913086
9001 11456.178711
9004 11532.944336
9005 11450.288086
9006 11474.642578
9016 11587.599609
9022 11579.903320
9024 11633.600586
9047 11691.627930
9048 11653.540039
10015 15515.181641
10054 15638.365234
10056 15712.275391
10056 15603.294922
10056 15635.015625
10057 15124.574219
10063 15548.251953
10066 15682.459961
10067 15676.426758
10068 15691.189453
11012 20166.068359
11023 20330.476562
11069 20257.857422
11093 20590.128906
11111 20644.072266
11116 20798.402344
11127 20817.433594
11132 20872.222656
11140 21230.687500
11153 20790.324219
12001 25777.970703
12007 25573.888672
12017 25891.568359
12040 25882.115234
12072 26203.570312
12080 26297.976562
12083 26307.056641
12115 26488.511719
12117 26322.906250
12123 26262.222656
13022 32419.373047
13046 32299.261719
13060 32951.371094
13068 33694.804688
13068 33215.687500
13069 32831.957031
13074 32912.812500
13074 32810.210938
13120 33319.628906
13129 33593.734375
14005 39591.023438
14006 40124.093750
14049 40552.554688
14062 40688.558594
14076 39869.675781
14080 40770.488281
14084 41009.386719
14086 41080.039062
14100 40947.726562
14112 40915.460938
15043 49987.007812
15093 49545.445312
15100 50677.714844
15145 50261.917969
15180 50488.957031
15212 50919.140625
15214 51499.765625
15233 53293.351562
15292 52034.828125
15300 53136.937500
16012 62449.816406
16021 61268.656250
16023 61103.652344
16025 61255.730469
16028 62063.156250
16037 61481.625000
16055 61717.250000
16056 61879.527344
16068 62128.085938
16074 61993.453125
17017 81741.000000
--one gpu--

